Date,Close,High,Low,Open,Volume,Return,Close_SMA_5,Close_STD_5,Volume_SMA_5,Momentum_5,Close_SMA_10,Close_STD_10,Volume_SMA_10,Momentum_10,Close_SMA_20,Close_STD_20,Volume_SMA_20,Momentum_20,Close_SMA_50,Close_STD_50,Volume_SMA_50,Momentum_50,Close_EMA_5,Close_EMA_10,Close_EMA_20,HL_PCT,OC_PCT,TrueRange,ATR_14,Close_Lag_1,Close_Lag_2,Close_Lag_3,Close_Lag_4,Close_Lag_5,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Middle,BB_Upper,BB_Lower,BB_Width,Volume_Change,Volume_MA_Ratio,DayOfWeek,Month,DayOfMonth,Quarter,DayOfWeek_0,DayOfWeek_1,DayOfWeek_2,DayOfWeek_3,DayOfWeek_4
2010-03-17,17.288986206054688,17.381158616389467,17.236316077898397,17.2494839238762,32456000,0.004206531967537952,17.162577819824218,0.09802991012720835,38322100.0,0.015075158542362077,17.02761116027832,0.2862557635235046,63565620.0,0.05716578958356022,16.547324895858765,0.5400516535701007,51407130.0,0.0909846764715263,16.017924251556398,0.6664012113396368,53760960.0,0.06358831316431668,17.16703238663859,16.982187002598778,16.653360790899505,0.8377734632025134,-0.22848235117831997,0.1645944379226698,0.2638202993355644,17.216564178466797,17.170480728149414,17.038803100585938,17.098054885864258,17.032222747802734,86.69238420772606,0.38682649966598603,0.3187412269346166,0.06808527273136944,16.547324895858765,17.627428202998967,15.467221588718564,0.13054718076037955,-0.39770818835537003,0.6313521101061274,2,3,17,1,0,0,1,0,0
2010-03-18,17.34165382385254,17.40090786642018,17.262648015177444,17.275815859249082,27088000,0.003046310360257376,17.211297607421876,0.11670086847613842,36271600.0,0.014247172535963415,17.119124603271484,0.20844547377386158,62248220.0,0.05571079350323682,16.61513743400574,0.5508219443232342,50703795.0,0.0848430757592662,16.041098957061767,0.6919157324979196,53400230.0,0.07160236713728896,17.225239532376573,17.047544606463095,16.718912508323605,0.7972702756444556,-0.3796521673895954,0.13825985124273643,0.26193926518394,17.288986206054688,17.216564178466797,17.170480728149414,17.038803100585938,17.098054885864258,87.08521483305967,0.3928637346130621,0.33356572847030574,0.059298006142756376,16.61513743400574,17.716781322652206,15.513493545359271,0.13260725564529655,-0.16539314764604385,0.5342400899183187,3,3,18,1,0,0,0,1,0
2010-03-19,17.216564178466797,17.407494176433325,17.163894050709636,17.36140797161517,55661800,-0.007213247747667961,17.246849822998048,0.06787848063352714,41170520.0,0.010432720938875484,17.181011772155763,0.10019339342688818,62108690.0,0.0372866101254532,16.6740620136261,0.548872511377053,51547790.0,0.07348087409403425,16.06387887954712,0.7116101878234666,53799152.0,0.07084380675161195,17.22234774773998,17.078275437736494,16.766307905480097,1.4149171878809894,0.8413048715581218,0.24360012572368817,0.2638203848937274,17.34165382385254,17.288986206054688,17.216564178466797,17.170480728149414,17.038803100585938,79.4680378802149,0.3831380212261486,0.34348018702147437,0.039657834204674225,16.6740620136261,17.771807036380203,15.576316990871993,0.13167097757667257,1.0548508564678087,1.0798096290840016,4,3,19,1,0,0,0,0,1
2010-03-22,17.30215835571289,17.367995090468078,17.04539031829782,17.065142092177506,31899500,0.004971617818678942,17.273185348510744,0.05520178474330494,40198560.0,0.007668837561874531,17.19088821411133,0.10726319507678055,53680820.0,0.005740984594213572,16.73924160003662,0.5417905533233124,51574025.0,0.08148178262229466,16.08692216873169,0.7327949641879596,53806518.0,0.0713414795456564,17.248951283730953,17.11898142282311,16.817341281692745,1.8645348489932163,-1.369865300401238,0.3226047721702585,0.27228525733642783,17.216564178466797,17.34165382385254,17.288986206054688,17.216564178466797,17.170480728149414,80.36408265603355,0.3779799405896398,0.35038013773510746,0.02759980285453234,16.73924160003662,17.822822706683247,15.655660493389997,0.12946597373255606,-0.42690498690304657,0.618518721391243,0,3,22,1,1,0,0,0,0
2010-03-23,17.539173126220703,17.611595040377942,17.229736207489676,17.242904056564665,48863100,0.013698566712606386,17.337707138061525,0.1213643095345023,39193680.0,0.01873828856964388,17.224466133117676,0.15399125430934546,42478370.0,0.019518194567279767,16.82450180053711,0.5257670692256698,52202880.0,0.10769277099725838,16.112993831634522,0.7608451082975616,54001462.0,0.0802917015433866,17.345691897894206,17.195379914349946,16.886087171647787,2.177176940669997,-1.6891849320600056,0.38185883288826616,0.284041998903025,17.30215835571289,17.216564178466797,17.34165382385254,17.288986206054688,17.216564178466797,81.25038979746627,0.3885384067914046,0.3580117915463669,0.03052661524503769,16.82450180053711,17.87603593898845,15.77296766208577,0.1250003299851376,0.531782629821784,0.9360230699915407,1,3,23,1,0,1,0,0,0
2010-03-24,17.414073944091797,17.52599809583821,17.40749002272382,17.48649456763035,35293400,-0.007132558714634363,17.362724685668944,0.12170245880974274,39761160.0,0.007235111217412049,17.262651252746583,0.14826115352766933,39041630.0,0.02241934020844827,16.89396047592163,0.5059608904048107,52308445.0,0.08668843299237317,16.137485294342042,0.7827521203851913,53990272.0,0.07563995640413523,17.368485913293405,17.2351424652121,16.936371626166263,0.6805304347211548,0.41587410143691445,0.13168310349688284,0.2783993204028961,17.539173126220703,17.30215835571289,17.216564178466797,17.34165382385254,17.288986206054688,75.33778790883225,0.3824034993233454,0.36289013310176266,0.01951336622158273,16.89396047592163,17.905882256731253,15.882038695112008,0.11979686850243067,-0.2777085367076587,0.6747170557258967,2,3,24,1,0,0,1,0,0
2010-03-25,17.40091323852539,17.677431770624455,17.394329314456947,17.55233972483425,35137800,-0.0007557511015894303,17.374576568603516,0.12202254159320133,41371120.0,0.0034171720456870336,17.292937088012696,0.1416899672411451,38821360.0,0.017713029621370557,16.96309013366699,0.47343141808912714,52209730.0,0.08631324306730481,16.16684898376465,0.8022106807403228,53977420.0,0.09214896535079964,17.379295021704067,17.265282605814516,16.98061368448618,1.6269402202450132,0.8702214891434799,0.2831024561675086,0.28357231353383383,17.414073944091797,17.539173126220703,17.30215835571289,17.216564178466797,17.34165382385254,72.42673960486837,0.3721892163977927,0.3647499497609687,0.007439266636823982,16.96309013366699,17.909952969845246,16.016227297488737,0.11163801273436577,-0.004408756311378381,0.6730124825391742,3,3,25,1,0,0,0,1,0
2010-03-26,17.427244186401367,17.61159025610714,17.341655702174858,17.407493673909407,37524500,0.0015131934465186792,17.41671257019043,0.08439009421516547,37743660.0,0.012237052977043694,17.33178119659424,0.11501211856359687,39457090.0,0.022797439674742792,17.03353633880615,0.4281050059256906,52549965.0,0.08795704514758085,16.190945587158204,0.8217705265571826,53854232.0,0.07426947484114743,17.39527807660317,17.294730165921216,17.023149922763817,1.5489227731307795,-0.11333124320006738,0.2699345539322806,0.2487727001342314,17.40091323852539,17.414073944091797,17.539173126220703,17.30215835571289,17.216564178466797,59.23935634210857,0.362045575002945,0.364209074809364,-0.0021634998064190003,17.03353633880615,17.889746350657532,16.17732632695477,0.10053226703144971,0.06792400207184279,0.7140727876793067,4,3,26,1,0,0,0,0,1
2010-03-29,17.453584671020508,17.57209280153996,17.414082379432426,17.51942266083745,30387800,0.001511454383573474,17.446997833251952,0.05508550167264289,37441320.0,0.00875187431501101,17.360091590881346,0.1053320399515817,38819940.0,0.01648782857936948,17.096411514282227,0.38921295073984313,51980465.0,0.07764245541759784,16.211486892700194,0.8404044008760635,53415946.0,0.06252482662149994,17.414713608075616,17.323612803211994,17.064143708312073,0.9053178764468386,0.3772175805595809,0.1580104221075338,0.2233782045591661,17.427244186401367,17.40091323852539,17.414073944091797,17.539173126220703,17.30215835571289,60.106791179325974,0.3520736373554847,0.3617819873185881,-0.009708349963103435,17.096411514282227,17.874837415761913,16.31798561280254,0.09106307494170858,-0.19018774400724858,0.584600387857246,0,3,29,1,1,0,0,0,0
2010-03-30,17.545745849609375,17.585248115861017,17.34164934226242,17.539161929275032,32975900,0.005280358180052902,17.44831237792969,0.05784439458627059,34263880.0,0.0003747453395535061,17.393009757995607,0.10691890809345213,36728780.0,0.019120055995510032,17.163565731048585,0.33959466591670895,51059070.0,0.08289282190726843,16.241113624572755,0.8609727088563676,53042502.0,0.09221232913226274,17.458391021920203,17.364000629829697,17.110010578911815,1.3883637417671741,-0.037524311538398025,0.2435987735985954,0.2229083295600573,17.453584671020508,17.427244186401367,17.40091323852539,17.414073944091797,17.539173126220703,72.15895810082534,0.34760051940111225,0.35894569373509294,-0.01134517433398069,17.163565731048585,17.842755062882002,16.48437639921517,0.07914315037752037,0.0851690481048315,0.6458382418637864,1,3,30,1,0,1,0,0,0
