,Feature,Importance
59,Day-60,0.9743006380117304
58,Day-59,0.010536127864221893
0,Day-1,0.000588357384075788
22,Day-23,0.0004796165174779736
41,Day-42,0.0004459631810538558
1,Day-2,0.00043025243773037885
57,Day-58,0.0004223493167970461
17,Day-18,0.0004213048873597791
2,Day-3,0.0004132159897424935
32,Day-33,0.0004079190663697312
23,Day-24,0.00040715045540768574
56,Day-57,0.0003829756336389586
18,Day-19,0.0003825084994468237
10,Day-11,0.0003582989961656025
37,Day-38,0.00034869059291457494
51,Day-52,0.00033630527251155587
33,Day-34,0.0003119656019056063
53,Day-54,0.00031182267252604306
19,Day-20,0.0003078628179991715
39,Day-40,0.0003066355035385004
48,Day-49,0.00030270950161103913
43,Day-44,0.000267720175731006
35,Day-36,0.0002626658148672118
52,Day-53,0.0002572444534438198
55,Day-56,0.0002563748414314347
27,Day-28,0.0002516693371663705
49,Day-50,0.00024680133087739286
12,Day-13,0.00024457088380830253
40,Day-41,0.00024230427097019205
6,Day-7,0.00023624745753360836
28,Day-29,0.00023474391459125019
46,Day-47,0.00022488363557378321
21,Day-22,0.0002198376251801768
44,Day-45,0.00021671671196281104
42,Day-43,0.00021375269678345856
4,Day-5,0.00021345514656211442
13,Day-14,0.00021336477074001517
25,Day-26,0.00020944998101592432
15,Day-16,0.00020570827804173132
54,Day-55,0.00020481800351493243
47,Day-48,0.0002019197574813958
50,Day-51,0.0001975066342008944
8,Day-9,0.00019258126741850335
38,Day-39,0.00018821939584837138
26,Day-27,0.0001880373840784426
36,Day-37,0.00018721805918623492
31,Day-32,0.00018686670389281938
16,Day-17,0.00018258478126058347
45,Day-46,0.0001822471666470322
29,Day-30,0.00017341015711542227
34,Day-35,0.00017072196756009537
14,Day-15,0.00016753689596436393
30,Day-31,0.0001660026195836053
5,Day-6,0.00016223753990605096
7,Day-8,0.00015503779352503297
9,Day-10,0.00014988324549306968
11,Day-12,0.00014903059814530583
3,Day-4,0.00014445018747998058
24,Day-25,0.00011891381747563492
20,Day-21,0.00011059449371679078
